dtref,Risk Factor - Nefin - Rm_minus_Rf - Retorno de Mercado,Risk Factor - Nefin - SMB - Size,Risk Factor - Nefin - HML - Value,Risk Factor - Nefin - WML - Momentum,Risk Factor - Nefin - IML - Iliquidez,Risk Factor - Nefin - Risk_free - Livre de Risco
2008-03-10,-0.025499923154711723,0.00039913691580295563,0.0058889202773571014,0.003396162763237953,0.008110340684652328,0.00041921675438061357
2008-03-11,0.03490295261144638,-0.018404509872198105,0.0005153194069862366,0.0071896743029356,-0.02135341241955757,0.0004188595339655876
2008-03-12,-0.006776412948966026,-0.0076324306428432465,-0.002321339910849929,0.005034132860600948,-5.5526383221149445e-05,0.00041921675438061357
2008-03-13,-0.0003534374700393528,-0.023045793175697327,0.002199864946305752,0.00976947508752346,-0.008582382462918758,0.0004195739165879786
2008-03-14,-0.006499799899756908,-0.011040173470973969,-0.0034597974736243486,0.0024736884515732527,0.0025364933535456657,0.0004202882118988782
2008-03-17,-0.0342758484184742,-0.004317149519920349,0.000645095482468605,0.0042910948395729065,0.00770910270512104,0.0004202882118988782
2008-03-18,0.026916496455669403,-0.014597045257687569,-0.00400114431977272,0.0022491607815027237,-0.026692800223827362,0.00041993107879534364
2008-03-19,-0.0503070205450058,0.009353196248412132,0.0062026940286159515,-0.015187444165349007,0.029774703085422516,0.0004206452867947519
2008-03-20,0.0010965089313685894,-0.003599607851356268,0.005972177255898714,-0.008719734847545624,-0.005832900758832693,0.0004202882118988782
2008-03-24,0.015156654641032219,-0.009876949712634087,0.0037447968497872353,-0.007174314931035042,-0.0018538818694651127,0.0004206452867947519
2008-03-25,0.025985561311244965,-0.013738262467086315,-0.0018087304197251797,0.0004972922615706921,-0.012842580676078796,0.0004217163659632206
2008-03-26,0.005069602280855179,-0.005846606567502022,0.0035335076972842216,0.009190031327307224,-0.004340031649917364,0.0004213593783788383
2008-03-27,-0.01309204287827015,0.006603271700441837,-0.0011407341808080673,-0.008888302370905876,0.002089698798954487,0.0004217163659632206
2008-03-28,-0.007020358927547932,0.001550861168652773,0.005624623503535986,-0.003902339842170477,0.003850153647363186,0.00042207332444377244
2008-03-31,0.009328307583928108,-0.011611782014369965,0.0016981707885861397,0.006876950617879629,-0.0027791489847004414,0.00042314399615861475
2008-04-01,0.027210967615246773,-0.02443118393421173,0.007423132658004761,0.00857353676110506,-0.033480461686849594,0.00042314399615861475
2008-04-02,0.00928951520472765,-0.004730508662760258,0.006811194587498903,0.004340789280831814,-0.00810739304870367,0.00042314399615861475
2008-04-03,0.010404097847640514,-0.007487006951123476,-0.00031615328043699265,0.004134093411266804,-0.001561143435537815,0.00042350083822384477
2008-04-04,0.0018517321441322565,0.0039466023445129395,0.004880625754594803,0.010867331176996231,0.005196362268179655,0.0004256411630194634
2008-04-07,-0.002616922603920102,0.004695539828389883,0.0016213469207286835,0.013862847350537777,0.007948013022542,0.0004263543523848057
